iter	MAE	RMSE
76	14.85467172	22.11489874
77	14.84542286	22.1046501
78	14.83894327	22.09564617
79	14.83111551	22.08890011
80	14.82020916	22.07167977
81	14.81117601	22.06166448
82	14.8042818	22.05504165
83	14.79820983	22.04962741
84	14.78999144	22.03671209
85	14.784114	22.03232374
86	14.77780121	22.02290841
87	14.77291487	22.01357027
88	14.76707479	22.00724001
89	14.76383097	22.00237227
90	14.75576353	21.98819659
91	14.75163054	21.9844039
92	14.74716443	21.97934513
93	14.73956915	21.96983829
94	14.73544771	21.96218798
95	14.73247527	21.95687487
96	14.7301658	21.95247139
97	14.72694009	21.94853432
98	14.72075591	21.9404675
99	14.7137804	21.93099477
100	14.70809998	21.9212022
101	14.70216859	21.91353837
102	14.6992002	21.90902302
103	14.69542513	21.90380085
104	14.69161529	21.89577652
105	14.68981673	21.89211309
106	14.68777728	21.88971105
107	14.6848952	21.88401471
108	14.68326561	21.88029425
109	14.68176175	21.8774373
110	14.68043384	21.87413952
111	14.67845297	21.8711689
112	14.67602285	21.86816269
113	14.6743328	21.86597956
114	14.67266663	21.86353197
115	14.67089223	21.85992904
116	14.6685321	21.85710959
117	14.6654254	21.85283436
118	14.66266962	21.84715173
119	14.66100271	21.84498198
120	14.65869298	21.84172413
121	14.65729192	21.83994054
122	14.65365951	21.83386212
123	14.65071067	21.82874353
124	14.6483936	21.8244906
125	14.64558253	21.8204177
126	14.64468708	21.81845055
127	14.64232293	21.81343317
128	14.6413958	21.81039006
129	14.63862387	21.80605935
130	14.63679323	21.80264734
131	14.63466134	21.79831786
132	14.63384907	21.79663644
133	14.6319698	21.79334399
134	14.63026807	21.78933649
135	14.6291523	21.78571712
136	14.62786463	21.78375682
137	14.62568892	21.78034615
138	14.62458157	21.77745821
139	14.62361799	21.77451009
140	14.62271401	21.77241875
141	14.62194664	21.77076944
142	14.62117102	21.76930011
143	14.61872285	21.76514332
144	14.61701737	21.76238949
145	14.61614523	21.76074838
146	14.61367796	21.75580212
147	14.61315055	21.75406391
148	14.61203884	21.75123167
149	14.61129436	21.74970474
150	14.61043416	21.7473675
151	14.60913809	21.74401009
152	14.60767822	21.74172561
153	14.606023	21.73836742
154	14.60559078	21.73707207
155	14.60512609	21.73541894
156	14.60408568	21.73337702
157	14.60210356	21.72977529
158	14.60143793	21.7275902
159	14.60085252	21.72586748
160	14.59949344	21.72276466
161	14.59834747	21.72101089
162	14.59702977	21.71822721
163	14.59633591	21.71586998
164	14.59578674	21.71459654
165	14.59514707	21.71280251
166	14.59364907	21.71074128
167	14.59208421	21.70795621
168	14.59147724	21.70644287
169	14.5903359	21.70428985
170	14.58967535	21.70231754
171	14.58920049	21.70107207
172	14.58851538	21.69896931
173	14.5877743	21.69629152
174	14.58689275	21.69316557
175	14.58627926	21.69187648
176	14.58459547	21.68924532
177	14.58330413	21.68636634
178	14.58237889	21.68368468
179	14.58197482	21.6823645
180	14.58153971	21.68110309
181	14.58087847	21.67921551
182	14.58024288	21.67712198
183	14.57959605	21.67568688
184	14.57909221	21.67486983
185	14.5779085	21.67302476
186	14.57735513	21.671642
187	14.57670691	21.67029801
188	14.57607919	21.66878016
189	14.57498343	21.66686902
190	14.57400509	21.66527411
191	14.57352943	21.66394808
192	14.57286331	21.66244023
193	14.57233169	21.66114701
194	14.57172541	21.65926056
195	14.57117413	21.65801954
196	14.57064949	21.65630022
197	14.5700091	21.65506307
198	14.56912026	21.6526927
199	14.56854233	21.65097907
200	14.56786184	21.64990965
201	14.56683111	21.64872841
202	14.56640508	21.64731236
203	14.56585786	21.64629396
204	14.56511851	21.64544728
205	14.56443225	21.64301861
206	14.56403424	21.64211097
207	14.56357884	21.64108116
208	14.56283779	21.63909056
209	14.56227351	21.63823938
210	14.56163753	21.63681749
211	14.56116918	21.63556986
212	14.56068417	21.63452979
213	14.56032925	21.63328198
214	14.55964128	21.63093178
215	14.55906251	21.62930787
216	14.55780479	21.62733601
217	14.55707025	21.62584602
218	14.55652083	21.62396091
219	14.55546593	21.62215794
220	14.55480146	21.62069674
221	14.55452204	21.62041439
222	14.55400121	21.61853681
223	14.55320383	21.61656888
224	14.55257992	21.6152063
225	14.55182784	21.61266763
226	14.55145505	21.61121934
227	14.550909	21.60945906
228	14.5505373	21.60841642
229	14.54914722	21.60593339
230	14.54847759	21.60477148
231	14.54788934	21.60286642
232	14.54742086	21.60123403
233	14.54706126	21.60035673
234	14.54645169	21.59870858
235	14.54540377	21.59672369
236	14.54415872	21.59408453
237	14.54361979	21.59227282
238	14.54319175	21.59106498
239	14.54246115	21.58926515
240	14.54177271	21.58830048
241	14.54122302	21.58642296
242	14.54061382	21.58563851
243	14.53996373	21.58461643
244	14.53954321	21.58318964
245	14.53916448	21.58175897
246	14.53887125	21.58091692
247	14.53802226	21.57813445
248	14.53723691	21.57627328
249	14.53680305	21.5756854
250	14.53634147	21.57415051
251	14.5358802	21.57294808
252	14.53518404	21.57138648
253	14.53445841	21.5700146
254	14.53391283	21.56834658
255	14.53328109	21.56666591
256	14.53288249	21.56536711
257	14.53253473	21.56420585
258	14.53201429	21.56233976
259	14.53150513	21.56073729
260	14.5309928	21.55902972
261	14.53054819	21.55747604
262	14.53010434	21.55642185
263	14.52945977	21.5549736
264	14.52870708	21.55351756
265	14.52829424	21.55266011
266	14.52773798	21.55096379
267	14.52734982	21.54973781
268	14.52666822	21.54738053
269	14.52629513	21.54591595
270	14.52570497	21.54484601
271	14.525159	21.54419423
272	14.52459983	21.54308851
273	14.52403659	21.54164269
274	14.5232979	21.54024805
275	14.52254315	21.53792195
276	14.52187023	21.53609008
277	14.52127199	21.53463513
278	14.52080892	21.53307623
279	14.51997226	21.53171286
280	14.51957167	21.53045313
281	14.51910281	21.52933319
282	14.51837606	21.52680223
283	14.51791133	21.52546101
284	14.51745762	21.52470151
285	14.51689648	21.52291762
286	14.51631609	21.52160826
287	14.51562312	21.52013911
288	14.51506057	21.5182677
289	14.51475271	21.51726792
290	14.5143646	21.51606101
291	14.51398546	21.51514474
292	14.5134347	21.51404463
293	14.51293952	21.51314087
294	14.51192195	21.51129692
295	14.51138772	21.51050962
296	14.51077243	21.50843797
297	14.51043735	21.50795005
298	14.50967757	21.50656897
299	14.50927685	21.50526245
300	14.50893533	21.50468187
301	14.50842125	21.50305669
302	14.50800481	21.50220574
303	14.50735548	21.50075092
304	14.50670671	21.49869005
305	14.50616491	21.49760437
306	14.50546518	21.49523882
307	14.50490472	21.4931987
308	14.50453678	21.49205507
309	14.50387112	21.48999888
310	14.50329103	21.48831436
311	14.50270164	21.48754472
312	14.50223686	21.48610847
313	14.50181989	21.48515122
314	14.50118125	21.48393593
315	14.5004711	21.48196567
316	14.50005654	21.48060573
317	14.49952916	21.47992892
318	14.49890191	21.47807448
319	14.49828062	21.47612031
320	14.4977772	21.4751121
321	14.49728389	21.47348668
322	14.49678934	21.47215908
323	14.49639699	21.4710577
324	14.49590758	21.47029272
325	14.49528501	21.46940396
326	14.49476749	21.46828203
327	14.49388748	21.46595177
328	14.49346052	21.46527023
329	14.49305103	21.46395356
330	14.4924437	21.46203982
331	14.49189016	21.46089826
332	14.49141719	21.46019962
333	14.49104812	21.45949655
334	14.49056532	21.45860903
335	14.48972906	21.45607277
336	14.48902807	21.45394555
337	14.48867819	21.45320001
338	14.48807961	21.45135612
339	14.48759061	21.44984396
340	14.48683505	21.44796606
341	14.48644925	21.44719397
342	14.48611442	21.44613856
343	14.48527159	21.44477736
344	14.48472343	21.44318197
345	14.48414946	21.44187179
346	14.48359535	21.44003117
347	14.48326856	21.43895174
348	14.48275119	21.43735157
349	14.48220987	21.4359383
350	14.48165847	21.43412143
351	14.48127014	21.4329888
352	14.48049604	21.43147541
353	14.4800095	21.43004517
354	14.47952061	21.42872936
355	14.47903449	21.42797079
356	14.478606	21.42701104
357	14.47819011	21.42580692
358	14.47757405	21.42407945
359	14.47680165	21.42209053
360	14.47634927	21.42164921
361	14.47593606	21.42031112
362	14.47540262	21.4192563
363	14.47505968	21.41857825
364	14.47470101	21.41798648
365	14.47422416	21.41650376
366	14.47368664	21.41495267
367	14.47319863	21.41362407
368	14.47280526	21.4128334
369	14.47200853	21.4116473
370	14.4714888	21.41002506
371	14.47109147	21.40874029
372	14.47064141	21.40744683
373	14.46997743	21.40656938
374	14.4696055	21.40583913
375	14.46913341	21.40472926
376	14.46849659	21.4028198
377	14.46772046	21.4010559
378	14.46710995	21.39927767
379	14.46654929	21.39771149
380	14.46611025	21.39633456
381	14.46567327	21.3949223
382	14.46512609	21.39363649
383	14.46456302	21.3921667
384	14.46394514	21.39083969
385	14.46359202	21.38980435
386	14.4630769	21.38823789
387	14.46265324	21.3870207
388	14.46238942	21.38616752
389	14.46200423	21.38549437
390	14.46167928	21.38442649
391	14.46118772	21.38299982
392	14.46057143	21.38112422
393	14.4601942	21.38041498
394	14.4596282	21.37849365
395	14.45924841	21.37788486
396	14.45872932	21.37638451
397	14.45837251	21.37531667
398	14.4577905	21.37381946
399	14.45745411	21.37294362
400	14.4571359	21.37245041
401	14.45659322	21.37092644
402	14.45613195	21.37041714
403	14.45576081	21.3700614
404	14.45525716	21.36860674
405	14.45455029	21.36670582
406	14.45383741	21.36493325
407	14.45357606	21.36446595
408	14.45301568	21.36287259
409	14.45243049	21.36125261
410	14.45181672	21.35987113
411	14.45141351	21.35861087
412	14.4510608	21.35778053
413	14.45061207	21.35639684
414	14.44994793	21.35441045
415	14.4494737	21.35290183
416	14.44902587	21.35171036
417	14.44830057	21.35011079
418	14.44784313	21.34912986
419	14.44752803	21.34852386
420	14.4471837	21.34791291
421	14.44678591	21.3471736
422	14.44635588	21.34600226
423	14.44597502	21.34505822
424	14.44555426	21.34459555
425	14.44512673	21.34342689
426	14.4446817	21.34239782
427	14.44441402	21.34207028
428	14.44419973	21.34136338
429	14.4435608	21.33962588
430	14.44305843	21.33813672
431	14.44280438	21.3374122
432	14.4424772	21.33678665
433	14.44224574	21.33628257
434	14.44173834	21.3350785
435	14.44130937	21.33398156
436	14.44101509	21.33328085
437	14.44070431	21.33270155
438	14.44033314	21.33194045
439	14.43984456	21.33118622
440	14.43951475	21.33016201
441	14.43901065	21.3289614
442	14.43842592	21.3274016
443	14.43805001	21.32636662
444	14.43776805	21.32549433
445	14.43700835	21.32340195
446	14.43665011	21.3226604
447	14.43613414	21.32180206
448	14.43572327	21.32052322
449	14.43508687	21.31858526
450	14.43463414	21.31726125
451	14.43430922	21.31622378
452	14.43385132	21.31524634
453	14.43336621	21.31400236
454	14.43293287	21.31282464
455	14.43253465	21.31206864
456	14.43225357	21.31130921
457	14.43194863	21.31064139
458	14.43151743	21.30949994
459	14.43093729	21.30800629
460	14.43053176	21.30706074
461	14.43016838	21.30651689
462	14.42963144	21.30510779
463	14.4291555	21.30386196
464	14.42865751	21.30293595
465	14.42813366	21.30162887
466	14.42775248	21.30094248
467	14.42711405	21.2994854
468	14.42682102	21.29849423
469	14.42643061	21.29735705
470	14.42620096	21.29715039
471	14.42583823	21.2961079
472	14.42558198	21.29544289
473	14.42491199	21.29411009
474	14.42451667	21.29344135
475	14.42404977	21.29253789
476	14.42362035	21.29149318
477	14.42322716	21.29057457
478	14.42288613	21.28992382
479	14.4224578	21.2888095
480	14.42208236	21.28766447
481	14.4218146	21.28746856
482	14.42142905	21.28657696
483	14.42085105	21.28548554
484	14.4203915	21.28414767
485	14.42001408	21.28312347
486	14.41935111	21.28175472
487	14.41892129	21.2804017
488	14.41837314	21.27904751
489	14.41795166	21.27773064
490	14.41740742	21.27615706
491	14.41702248	21.27500993
492	14.41667069	21.27419385
493	14.41637368	21.27345578
494	14.41585696	21.27211536
495	14.41535193	21.27110924
496	14.41497985	21.27004991
497	14.41460728	21.26903957
498	14.41403445	21.26766375
499	14.41375287	21.26731853
500	14.41341875	21.2664306
501	14.41279724	21.26506783
502	14.41249644	21.26457278
503	14.41223338	21.26393796
504	14.41196004	21.26309204
505	14.4115548	21.26197095
506	14.41117041	21.26110661
507	14.4107104	21.25983099
508	14.41018248	21.25855236
509	14.4098239	21.25774135
510	14.40956805	21.2571815
511	14.40902509	21.25573093
512	14.40877366	21.25506149
513	14.40830268	21.25422285
514	14.40801748	21.25366052
515	14.40758704	21.2523917
516	14.40725546	21.25147356
517	14.40699904	21.25067899
518	14.4066734	21.24984945
519	14.4063245	21.24900175
520	14.40602857	21.24837383
521	14.40541931	21.2465399
522	14.40507899	21.24543978
523	14.40485029	21.24495817
524	14.40450091	21.24444585
525	14.4041353	21.24375127
526	14.40372019	21.24279793
527	14.40354116	21.24257
528	14.40328367	21.24188719
529	14.40305621	21.24162502
530	14.4028239	21.24107586
531	14.40208625	21.23958078
532	14.40180078	21.23872784
533	14.40142484	21.23791228
534	14.40089427	21.23659384
535	14.40047645	21.23560898
536	14.40022544	21.23496746
537	14.39994552	21.23405173
538	14.39945064	21.23303496
539	14.39898213	21.23221024
540	14.39872232	21.2315507
541	14.39834677	21.23045409
542	14.39791696	21.22925207
543	14.39757757	21.22835402
544	14.3972374	21.22768247
545	14.39671365	21.22640641
546	14.39624608	21.22527463
547	14.39566052	21.22403952
548	14.39521043	21.22297166
549	14.39471395	21.22175892
550	14.39421259	21.22055234
551	14.39383691	21.21953628
552	14.39329606	21.21836459
553	14.39306615	21.21808557
554	14.39261959	21.21696804
555	14.39217764	21.21588053
556	14.3917832	21.21479177
557	14.39130531	21.21337839
558	14.39088926	21.21209235
559	14.39044675	21.21076348
560	14.3901813	21.21021255
561	14.38977291	21.2092916
562	14.3892888	21.20836999
563	14.3889972	21.20788735
564	14.38869769	21.20749556
565	14.38796839	21.20562825
566	14.38753572	21.20457992
567	14.38715726	21.20367091
568	14.38685094	21.2028849
569	14.38645765	21.20196028
570	14.38602978	21.2008574
571	14.38552517	21.19995177
572	14.3852589	21.19938106
573	14.38493582	21.1985355
574	14.38448756	21.19739639
575	14.38412053	21.19645684
576	14.38390039	21.19592306
577	14.38368855	21.19537225
578	14.38341366	21.19475732
579	14.3831246	21.19426545
580	14.38255718	21.19311887
581	14.38213457	21.19200978
582	14.38172818	21.19126
583	14.38130974	21.19022308
584	14.38097579	21.18916928
585	14.3805189	21.18786173
586	14.38016923	21.18690428
587	14.37994825	21.18638361
588	14.37945468	21.18487319
589	14.37899946	21.18382302
590	14.37856313	21.18263841
591	14.37809355	21.18138961
592	14.37768114	21.18043356
593	14.37736382	21.17959883
594	14.37697234	21.17851718
595	14.37643458	21.17742085
596	14.37610061	21.17679024
597	14.37577902	21.17616545
598	14.37556111	21.17566948
599	14.37513919	21.17455242
600	14.37475245	21.17370835
601	14.37436744	21.17289518
602	14.37407095	21.17211254
603	14.37366888	21.17094143
604	14.37322827	21.16987038
605	14.37276186	21.16854582
606	14.37232255	21.16797778
607	14.37188107	21.16661259
608	14.37143545	21.16539028
609	14.37091404	21.16406581
610	14.37067883	21.16376257
611	14.37033711	21.16274387
612	14.3700522	21.16188366
613	14.3694296	21.16027045
614	14.36912229	21.15959942
615	14.36871693	21.15864365
616	14.36817984	21.15723408
617	14.3678662	21.15665494
618	14.36758454	21.15578137
619	14.36729677	21.15524331
620	14.36680404	21.15427302
621	14.36648609	21.15338593
622	14.36591238	21.15218037
623	14.36554971	21.15130182
624	14.36529159	21.15056905
625	14.36474603	21.1491005
626	14.36449277	21.14841313
627	14.36418498	21.14758531
628	14.36383268	21.14666993
629	14.36329293	21.14521961
630	14.36285909	21.14415735
631	14.3623303	21.14279701
632	14.36193096	21.14189667
633	14.3615856	21.14130702
634	14.36112249	21.14005009
635	14.36058187	21.13893053
636	14.36018932	21.13795716
637	14.35984084	21.13716135
638	14.35926736	21.13575268
639	14.35889277	21.13505046
640	14.35848821	21.13407987
641	14.35802621	21.13278249
642	14.35763009	21.13169296
643	14.35730436	21.13088206
644	14.35700264	21.13013972
645	14.35655558	21.12902319
646	14.35611153	21.12802325
647	14.35573554	21.12711167
648	14.3554298	21.12636123
649	14.35509616	21.12557089
650	14.35478428	21.12519383
651	14.35447389	21.12460408
652	14.35418754	21.12395697
653	14.35378018	21.12287649
654	14.35352722	21.12233065
655	14.35313408	21.12117333
656	14.35284857	21.12049569
657	14.35254754	21.11968248
658	14.35222993	21.11910867
659	14.3518624	21.11836288
660	14.35138365	21.11721235
661	14.35096101	21.11603609
662	14.35057644	21.11507987
663	14.35024285	21.11411917
664	14.34986968	21.11327622
665	14.34959697	21.1128625
666	14.34937184	21.11257195
667	14.34887589	21.11176069
668	14.34828766	21.11015446
669	14.3478858	21.10919892
670	14.34747766	21.10810838
671	14.34713596	21.10745314
672	14.34672607	21.10666783
673	14.34628454	21.10567332
674	14.34584003	21.10444267
675	14.34546486	21.10344012
676	14.34507588	21.10221511
677	14.34471078	21.10129843
678	14.34423556	21.10024708
679	14.34398336	21.09977232
680	14.34350023	21.09848177
681	14.34302504	21.09707566
682	14.34270858	21.09628631
683	14.34226643	21.09496842
684	14.34191435	21.09405236
685	14.34155334	21.09316556
686	14.34111409	21.09209555
687	14.34058061	21.09072533
688	14.3401663	21.08973255
689	14.33974775	21.08861079
690	14.33938893	21.08778345
691	14.33887851	21.08662347
692	14.33854718	21.08571425
693	14.33811846	21.08476423
694	14.33763725	21.08372294
695	14.3372707	21.08274688
696	14.33682531	21.08160919
697	14.33638466	21.08058795
698	14.33591536	21.07966144
699	14.3356788	21.0794526
700	14.33517091	21.07817637
701	14.33481865	21.07734954
702	14.33443564	21.07615364
703	14.33382764	21.07461969
704	14.33337359	21.07352351
705	14.333045	21.07272126
706	14.33257626	21.07150106
707	14.33213805	21.07044401
708	14.33153544	21.06880554
709	14.33116338	21.06811774
710	14.33068443	21.06707835
711	14.33030251	21.06609848
712	14.32997568	21.06546165
713	14.32970759	21.06483044
714	14.32934565	21.06388171
715	14.32882014	21.06265472
716	14.32843869	21.06194908
717	14.32822603	21.06165021
718	14.32788068	21.06085841
719	14.32740366	21.05983449
720	14.32721977	21.05954024
721	14.32693629	21.05886769
722	14.3266095	21.05809255
723	14.32605198	21.05661476
724	14.32582725	21.05611405
725	14.32557065	21.05561823
726	14.32530845	21.05505413
727	14.32485092	21.0538776
728	14.32456794	21.0532779
729	14.3243223	21.05276217
730	14.32409079	21.05220871
731	14.32358414	21.05095454
732	14.32322591	21.05029068
733	14.32296482	21.04971126
734	14.32253264	21.04884376
735	14.32218274	21.04783931
736	14.32170683	21.0466003
737	14.3212313	21.04529093
738	14.32087717	21.04432149
739	14.32039744	21.04288504
740	14.31992038	21.04167065
741	14.31942768	21.04054878
742	14.31907775	21.03986533
743	14.31877178	21.03909099
744	14.31849323	21.03855804
745	14.31807296	21.03740373
746	14.31761442	21.03618489
747	14.31710072	21.03500096
748	14.31690769	21.03467302
749	14.31657746	21.03397281
750	14.31631105	21.03352108
751	14.31607824	21.03296927
752	14.31581405	21.03218194
753	14.31556356	21.03152271
754	14.31510575	21.03040392
755	14.31472588	21.02948847
756	14.31450063	21.02885954
757	14.31415035	21.02797365
758	14.31376907	21.02696322
759	14.31329649	21.0258623
760	14.31296811	21.02499473
761	14.31256862	21.02407804
762	14.31226136	21.02322233
763	14.31207032	21.02282532
764	14.3116901	21.02173464
765	14.31134903	21.02087192
766	14.31111603	21.0202876
767	14.31068729	21.01922899
768	14.31025497	21.01801553
769	14.30985272	21.01706364
770	14.30946356	21.01611614
771	14.30914685	21.01528173
772	14.30887717	21.01461884
773	14.30858682	21.0137377
774	14.30819496	21.01269399
775	14.30775601	21.01153941
776	14.3074743	21.01081806
777	14.30707184	21.01017546
778	14.30670708	21.00919495
779	14.30636187	21.0084287
780	14.30608187	21.00762952
781	14.30571112	21.00658566
782	14.30532162	21.00567173
783	14.30505485	21.00505273
784	14.30462521	21.00396823
785	14.30416759	21.00286695
786	14.30375134	21.00181773
787	14.30331742	21.00071769
788	14.30302817	21.00000246
789	14.30278511	20.99940489
790	14.30246728	20.99860749
791	14.30204924	20.99763465
792	14.30165279	20.99659451
793	14.30145952	20.99619992
794	14.30123128	20.99549622
795	14.3010345	20.99498946
796	14.30064502	20.99408773
797	14.30026401	20.993106
798	14.29967199	20.99171843
799	14.29920237	20.99072478
800	14.2988909	20.99009942
801	14.29831763	20.98867971
802	14.29817716	20.9883057
803	14.2980053	20.98804508
804	14.29735567	20.98629938
805	14.2968114	20.98468839
806	14.29644817	20.98384402
807	14.29615361	20.98324998
808	14.29585902	20.98247059
809	14.29546567	20.98142813
810	14.29524719	20.98096469
811	14.29492214	20.9802091
812	14.29455564	20.97928853
813	14.29422258	20.97837127
814	14.29385333	20.97749569
815	14.29313846	20.97582983
816	14.29292112	20.97531209
817	14.2925156	20.97442344
818	14.29228535	20.9739316
819	14.29194675	20.97314535
820	14.29159185	20.97230345
821	14.29110207	20.97110315
822	14.29072398	20.97007232
823	14.29029374	20.96923586
824	14.28992366	20.96836768
825	14.28953969	20.96757053
826	14.28914616	20.96653945
827	14.28877917	20.96576848
828	14.28836749	20.96472595
829	14.2878418	20.96326018
830	14.28746157	20.96247598
831	14.28702362	20.96129983
832	14.28682089	20.96089538
833	14.28648756	20.96013129
834	14.28603786	20.95933842
835	14.28563999	20.95842857
836	14.2852297	20.9574795
837	14.28482961	20.95657615
838	14.28450403	20.95569792
839	14.28426326	20.95552526
840	14.28382739	20.95449586
841	14.28358803	20.95388373
842	14.28327795	20.95317703
